cgpa,aptitude_score,coding_score,dsa_score,communication_score,attendance_percentage,projects_count,certifications_count,age,branch,degree,city_tier,college_tier,gender,internship_experience,backlog_history,placement_status,target
8.67,85,71,82,48,81.89,1,1,24,Civil,B.Tech,Tier 1,Tier 2,Female,Yes,0,Not Placed,0
8.2,75,89,71,55,77.02,2,1,24,CSE,B.Tech,Tier 3,Tier 1,Male,No,0,Placed,1
7.24,72,40,63,66,89.16,1,0,21,Data Science,B.Tech,Tier 3,Tier 2,Female,Yes,0,Placed,1
5.33,52,77,72,83,89.85,0,2,23,AI & ML,B.E.,Tier 1,Tier 3,Male,No,1,Not Placed,0
7.57,84,70,56,42,79.08,2,1,20,AI & ML,B.Tech,Tier 1,Tier 3,Female,Yes,0,Not Placed,0
7.93,58,67,61,50,84.73,1,1,24,AI & ML,B.Tech,Tier 1,Tier 2,Male,No,0,Placed,1
7.66,49,39,59,80,83.91,1,5,23,CSE,B.Tech,Tier 1,Tier 1,Female,Yes,0,Placed,1
8.26,67,72,39,63,84.59,1,2,21,ECE,B.Tech,Tier 3,Tier 1,Female,No,1,Placed,1
9.23,66,86,80,66,70.06,5,3,22,Data Science,B.E.,Tier 2,Tier 3,Male,Yes,1,Placed,1
7.45,72,47,60,77,82.02,4,1,24,Data Science,B.E.,Tier 3,Tier 2,Male,Yes,0,Placed,1
8.69,55,65,61,59,88.98,1,2,21,ISE,B.E.,Tier 2,Tier 3,Female,Yes,1,Placed,1
9.94,66,81,66,68,77.35,3,1,21,Data Science,B.E.,Tier 3,Tier 2,Male,Yes,0,Placed,1
6.6,86,85,50,68,80.48,5,3,20,CSE,B.E.,Tier 1,Tier 2,Male,Yes,0,Placed,1
7.28,77,61,63,58,72.59,2,3,21,Data Science,B.Tech,Tier 1,Tier 3,Female,Yes,1,Not Placed,0
6.97,59,71,67,48,62.51,4,2,24,CSE,B.E.,Tier 2,Tier 1,Male,No,0,Not Placed,0
6.31,58,39,61,62,79.56,1,2,22,CSE,B.E.,Tier 1,Tier 1,Female,Yes,0,Not Placed,0
6.04,62,58,74,76,94.47,5,2,24,Data Science,B.Tech,Tier 3,Tier 3,Female,Yes,0,Not Placed,0
7.88,87,52,28,58,82.26,0,2,21,EEE,B.Tech,Tier 1,Tier 2,Male,Yes,0,Placed,1
7.18,49,81,66,51,87.43,0,2,24,CSE,B.Tech,Tier 1,Tier 1,Male,Yes,1,Not Placed,0
6.15,78,41,31,77,86.34,2,3,23,AI & ML,B.Tech,Tier 1,Tier 2,Male,Yes,0,Placed,1
7.4,74,61,18,75,91.52,1,5,20,ECE,B.Tech,Tier 2,Tier 2,Male,Yes,2,Not Placed,0
6.07,46,56,47,52,92.35,1,1,23,Data Science,B.Tech,Tier 3,Tier 1,Male,Yes,0,Placed,1
6.69,54,55,73,54,72.38,2,3,23,CSE,B.Tech,Tier 3,Tier 3,Male,Yes,0,Not Placed,0
8.24,66,80,72,63,94.6,1,3,20,Civil,B.Tech,Tier 2,Tier 1,Female,Yes,0,Placed,1
7.11,72,65,53,80,85.47,3,2,24,EEE,B.Tech,Tier 1,Tier 1,Other,No,0,Placed,1
9.4,79,74,27,57,83.64,4,3,24,ECE,B.Tech,Tier 2,Tier 2,Male,Yes,0,Placed,1
8.7,81,99,57,56,91.27,3,2,22,Civil,B.Tech,Tier 3,Tier 2,Female,Yes,0,Placed,1
9.35,73,82,48,80,66.18,0,2,23,AI & ML,B.Tech,Tier 2,Tier 3,Male,Yes,0,Placed,1
8.15,80,76,90,60,84.05,5,4,21,CSE,B.E.,Tier 3,Tier 2,Male,No,1,Placed,1
7.99,81,79,69,73,75.53,2,2,23,CSE,B.Tech,Tier 2,Tier 3,Male,Yes,0,Placed,1
9.9,75,92,79,78,76.24,2,1,20,CSE,B.Tech,Tier 1,Tier 3,Female,No,2,Placed,1
6.83,68,57,80,76,87.07,1,0,21,CSE,B.E.,Tier 1,Tier 3,Male,Yes,1,Not Placed,0
6.83,65,77,52,74,68.08,0,3,23,ISE,B.Tech,Tier 2,Tier 2,Male,No,0,Not Placed,0
6.9,42,67,80,67,79.65,1,3,22,CSE,B.Tech,Tier 1,Tier 2,Female,Yes,0,Not Placed,0
9.4,76,65,96,46,84.22,5,1,22,ECE,B.Tech,Tier 2,Tier 3,Male,No,0,Placed,1
6.99,55,50,57,80,91.33,1,1,20,Data Science,B.Tech,Tier 2,Tier 3,Female,No,0,Not Placed,0
8.02,61,69,37,64,78.36,1,1,21,EEE,B.Tech,Tier 1,Tier 2,Male,No,1,Placed,1
7.31,67,89,78,70,91.13,3,1,24,CSE,B.Tech,Tier 2,Tier 2,Male,No,0,Not Placed,0
7.52,62,79,89,60,82.45,3,1,24,CSE,B.Tech,Tier 1,Tier 3,Female,Yes,1,Not Placed,0
8.93,46,80,68,35,78.07,1,3,21,ECE,B.Tech,Tier 1,Tier 2,Other,Yes,0,Not Placed,0
5.95,58,54,83,88,94.56,6,2,22,Data Science,B.Tech,Tier 2,Tier 2,Male,No,0,Not Placed,0
7.01,62,59,53,89,87.47,2,5,20,EEE,B.Tech,Tier 2,Tier 2,Male,Yes,2,Not Placed,0
6.31,56,64,67,57,79.16,5,2,23,CSE,B.Tech,Tier 1,Tier 3,Female,Yes,0,Not Placed,0
9.02,83,48,89,40,77.39,2,1,21,Data Science,B.E.,Tier 2,Tier 3,Male,Yes,0,Placed,1
6.92,65,79,61,53,88.15,2,0,20,Data Science,B.E.,Tier 1,Tier 3,Male,No,0,Not Placed,0
8.7,50,52,52,48,92.58,1,1,24,Mechanical,B.E.,Tier 1,Tier 2,Female,Yes,0,Placed,1
5.97,82,41,76,70,81.98,1,2,23,Mechanical,B.Tech,Tier 2,Tier 3,Male,Yes,0,Not Placed,0
5.83,66,57,56,81,77.19,0,4,22,Mechanical,B.Tech,Tier 1,Tier 2,Other,No,0,Placed,1
6.26,68,53,53,41,90.66,0,1,21,EEE,B.E.,Tier 3,Tier 3,Male,Yes,1,Placed,1
7.02,73,78,42,72,86.0,3,1,23,ISE,B.E.,Tier 2,Tier 1,Female,Yes,0,Placed,1
9.09,91,100,100,82,87.12,2,1,22,CSE,B.Tech,Tier 2,Tier 2,Female,No,2,Placed,1
6.91,69,77,39,80,90.31,6,4,22,Data Science,B.Tech,Tier 2,Tier 2,Male,No,0,Placed,1
8.54,65,74,58,41,80.76,3,4,23,AI & ML,B.Tech,Tier 2,Tier 3,Male,No,0,Not Placed,0
7.8,77,83,67,62,95.12,3,3,22,ECE,B.Tech,Tier 1,Tier 3,Female,No,3,Placed,1
7.78,67,82,63,52,79.83,1,2,22,CSE,B.Tech,Tier 2,Tier 3,Male,Yes,0,Placed,1
9.21,81,92,69,63,92.29,2,1,22,EEE,B.E.,Tier 3,Tier 1,Male,Yes,0,Placed,1
7.93,56,79,67,83,72.88,4,2,22,Civil,B.Tech,Tier 1,Tier 3,Male,Yes,2,Not Placed,0
8.96,68,67,50,54,80.12,2,5,20,Mechanical,B.Tech,Tier 1,Tier 1,Male,No,0,Not Placed,0
8.84,83,87,82,61,88.98,2,2,23,ISE,B.Tech,Tier 2,Tier 2,Other,Yes,0,Not Placed,0
9.38,88,93,66,63,85.72,2,0,21,Data Science,B.Tech,Tier 2,Tier 3,Male,Yes,0,Placed,1
7.75,67,63,59,59,89.76,3,2,21,ISE,B.Tech,Tier 1,Tier 3,Female,Yes,1,Placed,1
7.29,61,64,40,67,84.39,1,2,22,CSE,B.Tech,Tier 1,Tier 1,Male,Yes,0,Not Placed,0
10.0,68,86,82,65,76.68,3,2,23,Mechanical,B.Tech,Tier 2,Tier 2,Male,Yes,3,Placed,1
8.02,69,79,52,62,71.94,0,3,20,Data Science,B.Tech,Tier 2,Tier 2,Female,No,0,Placed,1
7.91,60,82,63,71,79.34,4,1,20,CSE,B.E.,Tier 1,Tier 1,Male,No,0,Placed,1
8.68,83,72,83,47,82.16,1,1,23,CSE,B.Tech,Tier 2,Tier 3,Female,Yes,0,Not Placed,0
9.55,89,75,56,70,88.96,3,3,23,CSE,B.Tech,Tier 1,Tier 2,Male,Yes,0,Placed,1
9.28,73,72,77,70,79.64,3,0,20,Mechanical,B.Tech,Tier 2,Tier 3,Male,No,0,Not Placed,0
6.66,64,44,55,86,77.33,2,1,23,Data Science,B.E.,Tier 2,Tier 2,Male,Yes,1,Not Placed,0
9.87,77,92,93,48,87.13,2,1,22,AI & ML,B.Tech,Tier 2,Tier 2,Male,Yes,1,Placed,1
7.5,49,60,56,60,78.63,2,1,22,ECE,B.Tech,Tier 1,Tier 3,Male,No,1,Not Placed,0
7.32,85,78,55,56,84.18,1,2,22,AI & ML,B.Tech,Tier 2,Tier 3,Female,No,1,Not Placed,0
7.71,67,61,75,60,93.39,1,1,21,ISE,B.Tech,Tier 1,Tier 3,Male,Yes,0,Placed,1
7.2,68,100,88,69,83.66,2,2,24,AI & ML,B.Tech,Tier 3,Tier 2,Female,No,0,Not Placed,0
8.74,67,74,55,77,96.61,2,3,21,ISE,B.E.,Tier 2,Tier 2,Female,Yes,0,Placed,1
8.75,83,83,94,48,88.24,1,0,23,Data Science,B.Tech,Tier 1,Tier 1,Male,Yes,0,Placed,1
8.42,72,75,59,56,73.0,3,0,22,ECE,B.Tech,Tier 2,Tier 2,Female,No,0,Placed,1
8.03,80,75,65,91,77.13,1,1,23,CSE,B.Tech,Tier 1,Tier 2,Male,Yes,0,Placed,1
8.41,65,65,69,50,74.1,4,3,23,ISE,B.Tech,Tier 1,Tier 3,Male,Yes,1,Placed,1
6.57,64,40,49,65,85.84,6,2,23,ECE,B.Tech,Tier 2,Tier 1,Male,Yes,0,Placed,1
8.22,83,89,81,68,70.38,2,2,23,ECE,B.E.,Tier 3,Tier 1,Male,Yes,0,Placed,1
8.62,63,84,84,70,79.04,4,3,22,ISE,B.Tech,Tier 2,Tier 2,Male,Yes,1,Placed,1
9.25,76,69,48,55,89.69,3,0,23,EEE,B.Tech,Tier 2,Tier 2,Male,Yes,0,Placed,1
8.71,69,65,73,63,85.54,0,2,23,ISE,B.Tech,Tier 3,Tier 2,Male,Yes,0,Placed,1
8.26,66,70,55,76,91.08,1,2,23,Data Science,B.Tech,Tier 2,Tier 2,Female,No,0,Placed,1
7.86,70,75,74,40,73.37,1,1,24,AI & ML,B.E.,Tier 1,Tier 2,Female,Yes,1,Not Placed,0
8.03,71,73,58,78,73.84,3,0,21,Mechanical,B.Tech,Tier 1,Tier 2,Male,Yes,0,Placed,1
7.55,65,51,68,46,79.77,1,0,20,AI & ML,B.E.,Tier 1,Tier 2,Female,No,0,Not Placed,0
8.18,65,61,34,42,78.05,2,2,23,CSE,B.Tech,Tier 2,Tier 3,Male,No,1,Not Placed,0
9.3,58,74,85,36,82.06,1,5,24,Civil,B.E.,Tier 2,Tier 2,Male,Yes,0,Placed,1
8.51,74,60,78,74,79.37,4,2,20,AI & ML,B.Tech,Tier 1,Tier 2,Male,No,3,Not Placed,0
8.45,75,55,91,63,92.9,2,2,22,Civil,B.Tech,Tier 2,Tier 1,Female,No,0,Not Placed,0
6.62,77,69,66,60,80.1,3,2,22,Data Science,B.E.,Tier 2,Tier 2,Male,Yes,0,Placed,1
7.59,84,84,61,50,90.61,3,3,21,CSE,B.Tech,Tier 3,Tier 3,Female,Yes,1,Not Placed,0
8.39,53,55,67,88,71.31,2,4,22,EEE,B.Tech,Tier 3,Tier 1,Male,Yes,0,Placed,1
7.56,80,52,56,74,85.28,1,3,22,Civil,B.E.,Tier 1,Tier 3,Male,Yes,0,Not Placed,0
9.31,87,95,45,77,84.72,1,1,23,CSE,B.Tech,Tier 2,Tier 2,Male,Yes,0,Placed,1
9.63,69,68,100,66,78.58,2,0,20,EEE,B.Tech,Tier 1,Tier 2,Male,Yes,0,Placed,1
8.53,72,79,40,56,88.89,0,0,21,ECE,B.Tech,Tier 1,Tier 2,Male,Yes,0,Not Placed,0
8.75,74,67,89,84,81.28,5,5,23,Data Science,B.Tech,Tier 2,Tier 2,Female,No,1,Not Placed,0
9.09,83,88,65,63,84.52,0,3,24,CSE,B.Tech,Tier 2,Tier 3,Female,Yes,0,Placed,1
8.31,95,63,83,75,87.75,3,6,21,AI & ML,B.E.,Tier 1,Tier 2,Female,Yes,3,Not Placed,0
6.84,55,48,55,74,79.77,0,1,20,EEE,B.Tech,Tier 1,Tier 2,Male,Yes,0,Not Placed,0
8.2,72,88,81,80,84.26,1,1,21,CSE,B.E.,Tier 3,Tier 2,Female,No,0,Placed,1
9.19,67,58,80,75,79.74,2,1,21,CSE,B.Tech,Tier 2,Tier 2,Male,Yes,0,Not Placed,0
7.62,47,68,71,77,89.42,1,2,23,AI & ML,B.Tech,Tier 2,Tier 2,Male,No,1,Not Placed,0
6.98,69,43,37,53,79.36,0,0,21,AI & ML,B.Tech,Tier 2,Tier 2,Male,No,0,Placed,1
7.65,78,64,61,62,85.23,4,1,24,ECE,B.Tech,Tier 2,Tier 3,Female,No,3,Placed,1
7.97,85,75,52,64,99.15,2,2,23,AI & ML,B.Tech,Tier 2,Tier 3,Male,Yes,0,Not Placed,0
7.65,72,100,63,68,86.73,2,0,24,AI & ML,B.Tech,Tier 3,Tier 1,Male,Yes,0,Placed,1
8.16,90,52,59,51,73.79,1,1,21,ISE,B.Tech,Tier 2,Tier 3,Male,No,2,Placed,1
8.07,74,95,63,56,72.28,1,1,22,AI & ML,B.Tech,Tier 1,Tier 1,Male,Yes,0,Placed,1
8.09,68,53,52,100,71.44,1,3,23,AI & ML,B.Tech,Tier 2,Tier 3,Male,Yes,0,Placed,1
6.81,75,81,87,47,85.76,1,5,20,CSE,B.Tech,Tier 2,Tier 3,Female,Yes,0,Placed,1
7.75,68,64,33,100,75.92,1,1,20,Data Science,B.E.,Tier 2,Tier 2,Male,No,0,Not Placed,0
7.58,55,65,68,52,79.97,0,4,24,AI & ML,B.Tech,Tier 1,Tier 2,Male,No,1,Not Placed,0
7.24,55,76,63,52,76.8,2,1,20,CSE,B.Tech,Tier 2,Tier 2,Male,No,0,Placed,1
8.22,75,82,49,76,69.66,3,4,23,ISE,B.E.,Tier 3,Tier 3,Female,Yes,0,Placed,1
8.33,98,78,59,57,80.58,2,4,24,CSE,B.Tech,Tier 1,Tier 3,Male,No,1,Placed,1
7.45,74,72,68,70,85.32,0,1,22,CSE,B.Tech,Tier 2,Tier 2,Male,Yes,0,Not Placed,0
9.07,70,67,65,59,75.88,5,4,24,EEE,B.E.,Tier 2,Tier 2,Female,No,0,Placed,1
7.95,66,88,62,33,86.38,3,0,21,CSE,B.Tech,Tier 1,Tier 2,Male,Yes,0,Placed,1
6.9,77,65,84,64,83.61,2,3,21,CSE,B.Tech,Tier 3,Tier 3,Male,Yes,0,Placed,1
6.14,59,39,60,61,92.71,2,1,23,Data Science,B.Tech,Tier 3,Tier 3,Male,No,0,Placed,1
6.78,77,78,73,68,65.2,4,0,24,ISE,B.Tech,Tier 2,Tier 3,Male,Yes,0,Placed,1
7.47,79,86,40,75,84.55,0,3,20,CSE,B.E.,Tier 2,Tier 3,Male,No,0,Not Placed,0
8.6,77,88,79,65,100.0,1,5,20,CSE,B.Tech,Tier 1,Tier 1,Male,No,2,Placed,1
8.43,87,88,59,69,73.61,0,2,24,CSE,B.Tech,Tier 3,Tier 3,Female,Yes,0,Not Placed,0
7.56,58,89,85,42,76.63,2,3,22,CSE,B.Tech,Tier 1,Tier 1,Male,No,1,Placed,1
9.46,86,82,95,61,76.29,1,3,20,CSE,B.Tech,Tier 2,Tier 2,Male,No,0,Placed,1
8.21,69,71,30,82,84.61,4,1,24,Data Science,B.Tech,Tier 1,Tier 1,Male,No,1,Placed,1
10.0,62,80,96,53,72.46,0,3,21,Mechanical,B.Tech,Tier 2,Tier 1,Male,Yes,0,Placed,1
5.97,53,70,50,54,75.99,4,1,24,AI & ML,B.Tech,Tier 3,Tier 3,Male,Yes,0,Placed,1
5.83,57,51,88,77,84.5,3,5,20,Mechanical,B.Tech,Tier 1,Tier 1,Male,No,0,Not Placed,0
9.24,65,66,63,70,78.28,0,2,20,AI & ML,B.Tech,Tier 2,Tier 3,Female,Yes,0,Placed,1
9.09,66,81,48,54,76.43,0,4,22,CSE,B.Tech,Tier 2,Tier 3,Female,Yes,0,Placed,1
8.28,82,72,50,78,85.39,2,3,22,CSE,B.E.,Tier 2,Tier 2,Male,Yes,0,Placed,1
10.0,73,82,69,72,79.48,1,2,23,Civil,B.Tech,Tier 3,Tier 1,Male,Yes,0,Placed,1
8.03,73,66,59,73,96.08,2,2,24,Civil,B.Tech,Tier 2,Tier 1,Male,No,3,Not Placed,0
8.02,83,57,58,78,92.18,4,1,23,AI & ML,B.Tech,Tier 3,Tier 3,Male,Yes,0,Placed,1
8.51,73,85,97,50,70.01,2,2,24,Mechanical,B.E.,Tier 1,Tier 1,Male,Yes,0,Placed,1
6.13,61,25,39,84,84.87,1,1,24,ISE,B.Tech,Tier 2,Tier 2,Male,No,1,Not Placed,0
7.52,65,81,78,68,85.57,0,0,23,AI & ML,B.Tech,Tier 3,Tier 2,Female,Yes,0,Not Placed,0
8.13,65,89,65,62,88.79,2,4,21,Data Science,B.E.,Tier 2,Tier 2,Male,Yes,0,Placed,1
8.1,71,76,50,74,78.54,2,0,20,AI & ML,B.E.,Tier 2,Tier 2,Male,No,0,Placed,1
10.0,79,90,62,78,73.73,2,0,21,AI & ML,B.Tech,Tier 1,Tier 2,Male,Yes,0,Placed,1
7.38,77,72,72,66,78.42,3,2,22,AI & ML,B.Tech,Tier 1,Tier 2,Male,Yes,3,Placed,1
8.31,82,98,79,78,92.57,3,2,22,CSE,B.E.,Tier 2,Tier 1,Male,No,0,Placed,1
7.22,64,63,79,82,82.06,3,2,21,CSE,B.Tech,Tier 2,Tier 2,Male,No,1,Not Placed,0
7.49,73,55,62,82,60.04,3,1,23,ECE,B.Tech,Tier 1,Tier 3,Male,Yes,0,Placed,1
7.51,41,68,63,66,81.16,0,3,22,CSE,B.Tech,Tier 3,Tier 2,Male,Yes,1,Not Placed,0
8.58,56,100,80,58,94.85,2,2,20,CSE,B.Tech,Tier 3,Tier 2,Female,Yes,0,Placed,1
9.45,86,72,46,48,82.1,4,2,24,AI & ML,B.Tech,Tier 1,Tier 2,Male,Yes,0,Placed,1
8.12,65,71,95,67,77.16,2,1,21,ISE,B.Tech,Tier 3,Tier 3,Female,No,1,Placed,1
9.49,72,75,38,87,73.3,4,2,24,ISE,B.Tech,Tier 1,Tier 1,Female,No,0,Placed,1
6.9,64,83,67,79,98.3,0,2,23,CSE,B.E.,Tier 1,Tier 1,Male,Yes,0,Placed,1
8.34,73,65,45,62,83.44,0,0,23,CSE,B.Tech,Tier 1,Tier 3,Male,Yes,0,Placed,1
7.31,63,79,52,62,75.33,3,1,21,CSE,B.Tech,Tier 2,Tier 2,Male,Yes,1,Placed,1
7.82,79,61,67,59,73.29,0,1,21,AI & ML,B.E.,Tier 3,Tier 3,Male,Yes,0,Placed,1
7.97,83,94,81,71,78.91,2,1,21,ISE,B.Tech,Tier 1,Tier 1,Male,No,0,Placed,1
7.12,70,71,67,78,65.0,2,2,21,CSE,B.Tech,Tier 2,Tier 2,Male,Yes,0,Not Placed,0
7.91,66,71,74,64,83.57,1,6,20,ECE,B.Tech,Tier 1,Tier 3,Male,No,0,Placed,1
6.4,67,83,65,62,76.43,0,2,23,CSE,B.Tech,Tier 2,Tier 3,Male,Yes,2,Not Placed,0
8.5,93,85,55,61,78.59,2,3,24,ISE,B.Tech,Tier 2,Tier 3,Male,Yes,0,Placed,1
7.75,60,50,79,51,89.23,0,3,22,CSE,B.Tech,Tier 3,Tier 2,Female,Yes,0,Not Placed,0
