skill,normalized_skill,work_activities
Inductive Reasoning,inductive reasoning,"['Analyzing Data or Information', 'Assisting and Caring for Others', 'Coaching and Developing Others', 'Coordinating the Work and Activities of Others', 'Developing Objectives and Strategies', 'Developing and Building Teams', 'Estimating the Quantifiable Characteristics of Products, Events, or Information', 'Evaluating Information to Determine Compliance with Standards', 'Getting Information', 'Guiding, Directing, and Motivating Subordinates', 'Identifying Objects, Actions, and Events', 'Inspecting Equipment, Structures, or Material', 'Interpreting the Meaning of Information for Others', 'Judging the Qualities of Things, Services, or People', 'Making Decisions and Solving Problems', 'Monitor Processes, Materials, or Surroundings', 'Organizing, Planning, and Prioritizing Work', 'Processing Information', 'Provide Consultation and Advice to Others', 'Repairing and Maintaining Electronic Equipment', 'Repairing and Maintaining Mechanical Equipment', 'Resolving Conflicts and Negotiating with Others', 'Selling or Influencing Others', 'Staffing Organizational Units', 'Thinking Creatively', 'Training and Teaching Others', 'Updating and Using Relevant Knowledge']"
Information Ordering,information ordering,"['Analyzing Data or Information', 'Communicating with Persons Outside Organization', 'Communicating with Supervisors, Peers, or Subordinates', 'Coordinating the Work and Activities of Others', 'Documenting/Recording Information', 'Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment', 'Estimating the Quantifiable Characteristics of Products, Events, or Information', 'Evaluating Information to Determine Compliance with Standards', 'Identifying Objects, Actions, and Events', 'Interacting With Computers', 'Interpreting the Meaning of Information for Others', 'Making Decisions and Solving Problems', 'Monitor Processes, Materials, or Surroundings', 'Monitoring and Controlling Resources', 'Organizing, Planning, and Prioritizing Work', 'Performing Administrative Activities', 'Processing Information', 'Provide Consultation and Advice to Others', 'Repairing and Maintaining Electronic Equipment', 'Repairing and Maintaining Mechanical Equipment', 'Resolving Conflicts and Negotiating with Others', 'Scheduling Work and Activities', 'Staffing Organizational Units', 'Training and Teaching Others']"
Manual Dexterity,manual dexterity,"['Handling and Moving Objects', 'Repairing and Maintaining Electronic Equipment', 'Repairing and Maintaining Mechanical Equipment']"
Mathematical Reasoning,mathematical reasoning,"['Estimating the Quantifiable Characteristics of Products, Events, or Information', 'Processing Information']"
Memorization,memorization,"['Performing for or Working Directly with the Public', 'Repairing and Maintaining Electronic Equipment', 'Repairing and Maintaining Mechanical Equipment', 'Training and Teaching Others']"
Multilimb Coordination,multilimb coordination,"['Handling and Moving Objects', 'Operating Vehicles, Mechanized Devices, or Equipment', 'Performing General Physical Activities']"
Near Vision,near vision,"['Controlling Machines and Processes', 'Documenting/Recording Information', 'Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment', 'Estimating the Quantifiable Characteristics of Products, Events, or Information', 'Evaluating Information to Determine Compliance with Standards', 'Getting Information', 'Identifying Objects, Actions, and Events', 'Inspecting Equipment, Structures, or Material', 'Interacting With Computers', 'Judging the Qualities of Things, Services, or People', 'Monitor Processes, Materials, or Surroundings', 'Operating Vehicles, Mechanized Devices, or Equipment', 'Performing Administrative Activities', 'Processing Information', 'Repairing and Maintaining Electronic Equipment', 'Repairing and Maintaining Mechanical Equipment']"
Night Vision,night vision,"['Operating Vehicles, Mechanized Devices, or Equipment']"
Number Facility,number facility,"['Estimating the Quantifiable Characteristics of Products, Events, or Information', 'Monitoring and Controlling Resources', 'Processing Information']"
Oral Comprehension,oral comprehension,"['Assisting and Caring for Others', 'Coaching and Developing Others', 'Communicating with Persons Outside Organization', 'Communicating with Supervisors, Peers, or Subordinates', 'Coordinating the Work and Activities of Others', 'Developing and Building Teams', 'Establishing and Maintaining Interpersonal Relationships', 'Evaluating Information to Determine Compliance with Standards', 'Getting Information', 'Guiding, Directing, and Motivating Subordinates', 'Identifying Objects, Actions, and Events', 'Interpreting the Meaning of Information for Others', 'Judging the Qualities of Things, Services, or People', 'Monitor Processes, Materials, or Surroundings', 'Monitoring and Controlling Resources', 'Performing for or Working Directly with the Public', 'Processing Information', 'Provide Consultation and Advice to Others', 'Resolving Conflicts and Negotiating with Others', 'Selling or Influencing Others', 'Staffing Organizational Units', 'Training and Teaching Others', 'Updating and Using Relevant Knowledge']"
Oral Expression,oral expression,"['Assisting and Caring for Others', 'Coaching and Developing Others', 'Communicating with Persons Outside Organization', 'Communicating with Supervisors, Peers, or Subordinates', 'Coordinating the Work and Activities of Others', 'Developing Objectives and Strategies', 'Developing and Building Teams', 'Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment', 'Establishing and Maintaining Interpersonal Relationships', 'Getting Information', 'Guiding, Directing, and Motivating Subordinates', 'Interpreting the Meaning of Information for Others', 'Performing for or Working Directly with the Public', 'Provide Consultation and Advice to Others', 'Resolving Conflicts and Negotiating with Others', 'Selling or Influencing Others', 'Staffing Organizational Units', 'Training and Teaching Others']"
Originality,originality,"['Coaching and Developing Others', 'Coordinating the Work and Activities of Others', 'Developing Objectives and Strategies', 'Developing and Building Teams', 'Guiding, Directing, and Motivating Subordinates', 'Making Decisions and Solving Problems', 'Provide Consultation and Advice to Others', 'Resolving Conflicts and Negotiating with Others', 'Selling or Influencing Others', 'Thinking Creatively', 'Training and Teaching Others']"
Perceptual Speed,perceptual speed,"['Identifying Objects, Actions, and Events', 'Inspecting Equipment, Structures, or Material', 'Monitor Processes, Materials, or Surroundings', 'Operating Vehicles, Mechanized Devices, or Equipment', 'Processing Information', 'Repairing and Maintaining Electronic Equipment', 'Repairing and Maintaining Mechanical Equipment']"
Peripheral Vision,peripheral vision,"['Operating Vehicles, Mechanized Devices, or Equipment']"
Problem Sensitivity,problem sensitivity,"['Assisting and Caring for Others', 'Coaching and Developing Others', 'Coordinating the Work and Activities of Others', 'Developing Objectives and Strategies', 'Developing and Building Teams', 'Establishing and Maintaining Interpersonal Relationships', 'Evaluating Information to Determine Compliance with Standards', 'Guiding, Directing, and Motivating Subordinates', 'Identifying Objects, Actions, and Events', 'Inspecting Equipment, Structures, or Material', 'Making Decisions and Solving Problems', 'Monitor Processes, Materials, or Surroundings', 'Monitoring and Controlling Resources', 'Operating Vehicles, Mechanized Devices, or Equipment', 'Organizing, Planning, and Prioritizing Work', 'Performing for or Working Directly with the Public', 'Provide Consultation and Advice to Others', 'Repairing and Maintaining Electronic Equipment', 'Repairing and Maintaining Mechanical Equipment', 'Resolving Conflicts and Negotiating with Others', 'Scheduling Work and Activities', 'Selling or Influencing Others', 'Staffing Organizational Units', 'Training and Teaching Others']"
Rate Control,rate control,"['Controlling Machines and Processes', 'Operating Vehicles, Mechanized Devices, or Equipment']"
Reaction Time,reaction time,"['Controlling Machines and Processes', 'Operating Vehicles, Mechanized Devices, or Equipment']"
Response Orientation,response orientation,"['Operating Vehicles, Mechanized Devices, or Equipment']"
Selective Attention,selective attention,"['Analyzing Data or Information', 'Documenting/Recording Information', 'Getting Information', 'Interacting With Computers', 'Making Decisions and Solving Problems', 'Monitor Processes, Materials, or Surroundings', 'Performing for or Working Directly with the Public', 'Thinking Creatively', 'Training and Teaching Others']"
Sound Localization,sound localization,"['Operating Vehicles, Mechanized Devices, or Equipment']"
Spatial Orientation,spatial orientation,"['Operating Vehicles, Mechanized Devices, or Equipment']"
Speech Clarity,speech clarity,"['Assisting and Caring for Others', 'Coaching and Developing Others', 'Communicating with Persons Outside Organization', 'Communicating with Supervisors, Peers, or Subordinates', 'Coordinating the Work and Activities of Others', 'Developing and Building Teams', 'Establishing and Maintaining Interpersonal Relationships', 'Guiding, Directing, and Motivating Subordinates', 'Interpreting the Meaning of Information for Others', 'Performing for or Working Directly with the Public', 'Provide Consultation and Advice to Others', 'Resolving Conflicts and Negotiating with Others', 'Selling or Influencing Others', 'Staffing Organizational Units', 'Training and Teaching Others']"
Speech Recognition,speech recognition,"['Assisting and Caring for Others', 'Coaching and Developing Others', 'Communicating with Persons Outside Organization', 'Communicating with Supervisors, Peers, or Subordinates', 'Coordinating the Work and Activities of Others', 'Developing and Building Teams', 'Establishing and Maintaining Interpersonal Relationships', 'Getting Information', 'Guiding, Directing, and Motivating Subordinates', 'Interpreting the Meaning of Information for Others', 'Performing for or Working Directly with the Public', 'Provide Consultation and Advice to Others', 'Resolving Conflicts and Negotiating with Others', 'Selling or Influencing Others', 'Staffing Organizational Units', 'Training and Teaching Others']"
Speed of Closure,speed of closure,"['Identifying Objects, Actions, and Events', 'Resolving Conflicts and Negotiating with Others', 'Selling or Influencing Others']"
Stamina,stamina,['Performing General Physical Activities']
Static Strength,static strength,"['Handling and Moving Objects', 'Performing General Physical Activities']"
Time Sharing,time sharing,"['Monitor Processes, Materials, or Surroundings', 'Operating Vehicles, Mechanized Devices, or Equipment', 'Performing for or Working Directly with the Public']"
Trunk Strength,trunk strength,"['Operating Vehicles, Mechanized Devices, or Equipment', 'Performing General Physical Activities']"
Visual Color Discrimination,visual color discrimination,"['Identifying Objects, Actions, and Events', 'Inspecting Equipment, Structures, or Material', 'Monitor Processes, Materials, or Surroundings', 'Repairing and Maintaining Electronic Equipment']"
Visualization,visualization,"['Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment', 'Estimating the Quantifiable Characteristics of Products, Events, or Information', 'Identifying Objects, Actions, and Events', 'Inspecting Equipment, Structures, or Material', 'Operating Vehicles, Mechanized Devices, or Equipment', 'Repairing and Maintaining Electronic Equipment', 'Repairing and Maintaining Mechanical Equipment', 'Thinking Creatively']"
Wrist-Finger Speed,wrist finger speed,['Documenting/Recording Information']
Written Comprehension,written comprehension,"['Analyzing Data or Information', 'Communicating with Persons Outside Organization', 'Communicating with Supervisors, Peers, or Subordinates', 'Documenting/Recording Information', 'Evaluating Information to Determine Compliance with Standards', 'Getting Information', 'Guiding, Directing, and Motivating Subordinates', 'Identifying Objects, Actions, and Events', 'Interacting With Computers', 'Interpreting the Meaning of Information for Others', 'Judging the Qualities of Things, Services, or People', 'Making Decisions and Solving Problems', 'Monitor Processes, Materials, or Surroundings', 'Monitoring and Controlling Resources', 'Performing Administrative Activities', 'Processing Information', 'Provide Consultation and Advice to Others', 'Resolving Conflicts and Negotiating with Others', 'Staffing Organizational Units', 'Training and Teaching Others', 'Updating and Using Relevant Knowledge']"
Written Expression,written expression,"['Communicating with Persons Outside Organization', 'Communicating with Supervisors, Peers, or Subordinates', 'Coordinating the Work and Activities of Others', 'Developing Objectives and Strategies', 'Developing and Building Teams', 'Documenting/Recording Information', 'Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment', 'Guiding, Directing, and Motivating Subordinates', 'Interpreting the Meaning of Information for Others', 'Performing Administrative Activities', 'Provide Consultation and Advice to Others', 'Resolving Conflicts and Negotiating with Others', 'Selling or Influencing Others', 'Staffing Organizational Units', 'Training and Teaching Others']"
