student_id,age,gender,state,city,city_tier,college_tier,branch,degree,cgpa,backlog_history,internship_experience,projects_count,certifications_count,aptitude_score,coding_score,dsa_score,communication_score,attendance_percentage,preferred_role,placement_status,placement_probability,salary_lpa
STU00020,20,Female,Andhra Pradesh,Vijayawada,Tier 1,Tier 2,Data Science,B.Tech,6.47,1,Yes,2,1,71,63,61,69,92.83,Data Scientist,Not Placed,0.4363,0.0
STU00021,23,Female,Karnataka,Bengaluru,Tier 2,Tier 2,Civil,B.Tech,9.35,0,No,1,2,82,73,72,41,80.49,Civil Engineer,Placed,0.6872,5.22
STU00022,23,Male,Delhi,Delhi,Tier 2,Tier 2,AI & ML,B.Tech,8.15,0,Yes,1,3,94,100,63,67,69.28,Machine Learning Engineer,Placed,0.8684,3.81
STU00023,22,Male,Telangana,Hyderabad,Tier 3,Tier 2,EEE,B.Tech,7.43,0,Yes,2,5,63,79,75,51,75.19,Electrical Engineer,Placed,0.7016,5.37
STU00024,21,Female,Delhi,New Delhi,Tier 2,Tier 2,CSE,B.Tech,8.64,1,Yes,1,0,49,58,16,86,77.65,Software Developer,Not Placed,0.5727,0.0
STU00025,23,Male,Telangana,Karimnagar,Tier 3,Tier 2,Mechanical,B.Tech,7.72,0,Yes,3,2,60,78,70,89,84.07,Design Engineer,Placed,0.7803,4.43
STU00026,21,Female,Andhra Pradesh,Visakhapatnam,Tier 2,Tier 2,ECE,B.E.,8.83,0,Yes,3,2,54,59,67,70,86.45,Embedded Engineer,Not Placed,0.7549,0.0
STU00027,20,Female,Tamil Nadu,Coimbatore,Tier 2,Tier 3,ISE,B.E.,7.0,2,No,0,2,56,84,48,77,81.46,Full Stack Developer,Not Placed,0.2765,0.0
STU00028,23,Male,Tamil Nadu,Madurai,Tier 3,Tier 2,Data Science,B.Tech,8.13,1,No,3,5,67,61,37,77,71.75,Data Scientist,Not Placed,0.6532,0.0
STU00029,21,Female,Tamil Nadu,Madurai,Tier 2,Tier 2,Data Science,B.E.,8.95,1,No,0,0,84,89,75,43,70.61,Data Scientist,Not Placed,0.5652,0.0
STU00030,20,Male,Kerala,Thiruvananthapuram,Tier 1,Tier 2,Mechanical,B.Tech,7.4,0,Yes,3,2,60,70,36,59,79.52,Design Engineer,Placed,0.6501,4.36
STU00031,23,Male,Maharashtra,Nagpur,Tier 2,Tier 3,AI & ML,B.E.,7.95,0,Yes,1,1,49,79,77,61,84.56,Machine Learning Engineer,Placed,0.6299,4.88
STU00032,23,Female,Maharashtra,Nagpur,Tier 2,Tier 2,ISE,B.Tech,7.73,0,Yes,2,1,74,67,69,31,100.0,Full Stack Developer,Placed,0.6018,4.96
STU00033,21,Male,Gujarat,Surat,Tier 2,Tier 3,Data Science,B.Tech,7.35,0,Yes,2,1,85,66,52,61,63.44,Data Scientist,Placed,0.6541,3.24
STU00034,20,Female,Uttar Pradesh,Kanpur,Tier 3,Tier 2,CSE,B.Tech,6.92,0,Yes,0,1,62,80,65,66,72.27,Software Developer,Placed,0.55,5.0
STU00035,21,Female,Andhra Pradesh,Vijayawada,Tier 1,Tier 2,ECE,B.Tech,6.97,0,No,1,1,51,44,58,73,88.22,Embedded Engineer,Placed,0.2903,2.5
STU00036,22,Male,Andhra Pradesh,Vijayawada,Tier 2,Tier 3,CSE,B.Tech,8.64,0,Yes,4,3,69,67,83,67,87.08,Software Developer,Placed,0.8422,5.88
STU00037,24,Male,Uttar Pradesh,Noida,Tier 3,Tier 3,Civil,B.E.,9.36,1,No,1,1,77,78,67,51,96.38,Civil Engineer,Not Placed,0.5769,0.0
STU00038,22,Male,Tamil Nadu,Coimbatore,Tier 3,Tier 2,CSE,B.E.,7.13,0,Yes,2,2,70,44,61,65,85.03,Software Developer,Not Placed,0.5473,0.0
STU00039,21,Male,Telangana,Warangal,Tier 2,Tier 2,CSE,B.Tech,7.28,0,Yes,2,3,70,66,32,70,67.11,Software Developer,Not Placed,0.693,0.0
STU00040,23,Male,Kerala,Thiruvananthapuram,Tier 2,Tier 3,EEE,B.E.,6.78,2,No,1,4,53,54,65,86,100.0,Electrical Engineer,Not Placed,0.2147,0.0
STU00041,23,Male,Kerala,Thiruvananthapuram,Tier 2,Tier 1,ISE,B.E.,8.05,0,No,0,3,47,87,51,53,78.74,Full Stack Developer,Placed,0.5912,4.4
STU00042,23,Male,Telangana,Hyderabad,Tier 2,Tier 2,CSE,B.Tech,7.79,0,No,2,1,69,79,62,80,61.99,Software Developer,Not Placed,0.6759,0.0
STU00043,22,Male,Karnataka,Bengaluru,Tier 1,Tier 1,Data Science,B.Tech,7.19,0,Yes,2,1,71,73,67,64,73.39,Data Scientist,Placed,0.6814,4.9
STU00044,24,Male,Uttar Pradesh,Noida,Tier 2,Tier 3,ISE,B.Tech,8.28,0,Yes,3,2,68,65,63,68,85.59,Full Stack Developer,Placed,0.7679,6.77
STU00045,20,Female,Telangana,Hyderabad,Tier 1,Tier 1,CSE,B.E.,7.99,0,Yes,4,2,73,71,86,71,78.13,Software Developer,Placed,0.8391,4.96
STU00046,22,Female,Tamil Nadu,Coimbatore,Tier 3,Tier 2,CSE,B.Tech,6.57,0,Yes,3,3,74,68,71,63,85.71,Software Developer,Placed,0.6627,4.54
STU00047,22,Female,Gujarat,Vadodara,Tier 2,Tier 3,Data Science,B.Tech,8.34,0,Yes,3,3,89,100,69,85,87.07,Data Scientist,Placed,0.9178,5.93
STU00048,20,Male,Kerala,Kochi,Tier 1,Tier 2,CSE,B.Tech,7.35,1,Yes,1,2,54,73,75,63,65.14,Software Developer,Not Placed,0.4913,0.0
STU00049,22,Female,Karnataka,Bengaluru,Tier 2,Tier 3,ECE,B.E.,7.35,0,No,3,2,79,54,51,78,86.34,Embedded Engineer,Not Placed,0.5581,0.0
STU00050,23,Male,Karnataka,Bengaluru,Tier 3,Tier 2,ECE,B.Tech,9.12,0,Yes,3,0,77,80,52,64,85.64,Embedded Engineer,Not Placed,0.8373,0.0
STU00051,20,Male,Telangana,Warangal,Tier 2,Tier 3,CSE,B.Tech,8.0,0,No,3,0,87,80,45,64,87.23,Software Developer,Placed,0.7055,4.04
STU00052,24,Female,Maharashtra,Mumbai,Tier 2,Tier 3,EEE,B.E.,9.22,1,No,0,4,91,91,92,75,88.72,Electrical Engineer,Not Placed,0.7426,0.0
STU00053,21,Male,Andhra Pradesh,Vijayawada,Tier 3,Tier 3,CSE,B.Tech,7.47,0,Yes,0,2,67,62,59,63,65.22,Software Developer,Not Placed,0.5423,0.0
STU00054,21,Male,Kerala,Thiruvananthapuram,Tier 3,Tier 3,CSE,B.Tech,7.83,0,No,2,0,90,41,49,38,90.15,Software Developer,Not Placed,0.4107,0.0
STU00055,24,Male,Gujarat,Vadodara,Tier 3,Tier 2,ECE,B.E.,7.8,1,Yes,4,0,55,60,56,63,72.81,Embedded Engineer,Placed,0.5341,4.54
STU00056,22,Male,Gujarat,Vadodara,Tier 1,Tier 2,CSE,B.Tech,8.18,0,Yes,2,2,61,87,86,66,79.95,Software Developer,Placed,0.7923,7.37
STU00057,22,Male,Karnataka,Bengaluru,Tier 2,Tier 1,CSE,B.Tech,7.36,0,No,1,1,59,62,59,54,76.29,Software Developer,Placed,0.4366,2.5
STU00058,24,Male,Telangana,Hyderabad,Tier 1,Tier 3,Data Science,B.E.,8.17,3,Yes,2,4,77,88,76,58,75.66,Data Scientist,Placed,0.5549,5.75
STU00059,24,Male,Karnataka,Mysuru,Tier 1,Tier 2,ECE,B.Tech,8.74,2,No,3,1,72,48,57,80,95.92,Embedded Engineer,Placed,0.443,5.57
STU00060,23,Female,Delhi,Delhi,Tier 2,Tier 2,Data Science,B.Tech,8.4,0,No,2,0,90,100,100,61,84.91,Data Scientist,Placed,0.7875,6.57
STU00061,24,Male,Maharashtra,Mumbai,Tier 2,Tier 3,ISE,B.Tech,7.78,0,Yes,4,3,64,69,74,37,88.03,Full Stack Developer,Placed,0.7119,2.5
STU00062,22,Male,Tamil Nadu,Chennai,Tier 2,Tier 1,Data Science,B.Tech,7.19,0,Yes,2,3,88,69,79,72,84.34,Data Scientist,Placed,0.7665,4.2
STU00063,21,Male,Kerala,Kozhikode,Tier 3,Tier 2,Data Science,B.E.,9.47,0,No,0,3,75,73,55,72,89.33,Data Scientist,Not Placed,0.7687,0.0
STU00064,20,Female,Karnataka,Mangaluru,Tier 3,Tier 1,Data Science,B.E.,8.22,0,No,0,2,66,74,72,61,72.98,Data Scientist,Placed,0.607,5.75
STU00065,21,Male,Delhi,Delhi,Tier 1,Tier 3,CSE,B.Tech,8.13,0,No,2,1,88,96,58,26,84.69,Software Developer,Placed,0.6668,4.16
STU00066,21,Male,Kerala,Kozhikode,Tier 3,Tier 3,CSE,B.Tech,7.64,2,No,0,1,82,69,68,64,87.21,Software Developer,Not Placed,0.2911,0.0
STU00067,22,Male,Delhi,Delhi,Tier 1,Tier 3,ISE,B.Tech,7.03,0,No,1,3,66,67,74,64,87.96,Full Stack Developer,Not Placed,0.4727,0.0
STU00068,22,Male,Andhra Pradesh,Visakhapatnam,Tier 2,Tier 2,ECE,B.E.,5.14,0,Yes,2,4,48,55,67,47,81.16,Embedded Engineer,Not Placed,0.2815,0.0
STU00069,24,Female,Uttar Pradesh,Lucknow,Tier 1,Tier 2,Civil,B.Tech,8.67,0,Yes,1,1,85,71,82,48,81.89,Civil Engineer,Not Placed,0.7138,0.0
STU00070,24,Male,Gujarat,Ahmedabad,Tier 3,Tier 1,CSE,B.Tech,8.2,0,No,2,1,75,89,71,55,77.02,Software Developer,Placed,0.7299,4.43
STU00071,21,Female,Telangana,Karimnagar,Tier 3,Tier 2,Data Science,B.Tech,7.24,0,Yes,1,0,72,40,63,66,89.16,Data Scientist,Placed,0.4559,2.5
STU00072,23,Male,Tamil Nadu,Coimbatore,Tier 1,Tier 3,AI & ML,B.E.,5.33,1,No,0,2,52,77,72,83,89.85,Machine Learning Engineer,Not Placed,0.203,0.0
STU00073,20,Female,Karnataka,Mangaluru,Tier 1,Tier 3,AI & ML,B.Tech,7.57,0,Yes,2,1,84,70,56,42,79.08,Machine Learning Engineer,Not Placed,0.6379,0.0
STU00074,24,Male,Tamil Nadu,Chennai,Tier 1,Tier 2,AI & ML,B.Tech,7.93,0,No,1,1,58,67,61,50,84.73,Machine Learning Engineer,Placed,0.4772,2.5
STU00075,23,Female,Tamil Nadu,Madurai,Tier 1,Tier 1,CSE,B.Tech,7.66,0,Yes,1,5,49,39,59,80,83.91,Software Developer,Placed,0.6243,2.5
STU00076,21,Female,West Bengal,Kolkata,Tier 3,Tier 1,ECE,B.Tech,8.26,1,No,1,2,67,72,39,63,84.59,Embedded Engineer,Placed,0.5079,5.07
STU00077,22,Male,Tamil Nadu,Madurai,Tier 2,Tier 3,Data Science,B.E.,9.23,1,Yes,5,3,66,86,80,66,70.06,Data Scientist,Placed,0.8772,5.71
STU00078,24,Male,Karnataka,Mangaluru,Tier 3,Tier 2,Data Science,B.E.,7.45,0,Yes,4,1,72,47,60,77,82.02,Data Scientist,Placed,0.6938,3.46
STU00079,21,Female,Uttar Pradesh,Noida,Tier 2,Tier 3,ISE,B.E.,8.69,1,Yes,1,2,55,65,61,59,88.98,Full Stack Developer,Placed,0.5765,2.75
STU00080,21,Male,Delhi,New Delhi,Tier 3,Tier 2,Data Science,B.E.,9.94,0,Yes,3,1,66,81,66,68,77.35,Data Scientist,Placed,0.8991,6.47
STU00081,20,Male,Delhi,Delhi,Tier 1,Tier 2,CSE,B.E.,6.6,0,Yes,5,3,86,85,50,68,80.48,Software Developer,Placed,0.8258,5.04
STU00082,21,Female,Karnataka,Mangaluru,Tier 1,Tier 3,Data Science,B.Tech,7.28,1,Yes,2,3,77,61,63,58,72.59,Data Scientist,Not Placed,0.5335,0.0
STU00083,24,Male,Karnataka,Mysuru,Tier 2,Tier 1,CSE,B.E.,6.97,0,No,4,2,59,71,67,48,62.51,Software Developer,Not Placed,0.5745,0.0
STU00084,22,Female,Uttar Pradesh,Lucknow,Tier 1,Tier 1,CSE,B.E.,6.31,0,Yes,1,2,58,39,61,62,79.56,Software Developer,Not Placed,0.3753,0.0
STU00085,24,Female,Gujarat,Vadodara,Tier 3,Tier 3,Data Science,B.Tech,6.04,0,Yes,5,2,62,58,74,76,94.47,Data Scientist,Not Placed,0.6104,0.0
STU00086,21,Male,Andhra Pradesh,Vijayawada,Tier 1,Tier 2,EEE,B.Tech,7.88,0,Yes,0,2,87,52,28,58,82.26,Electrical Engineer,Placed,0.5699,3.49
STU00087,24,Male,West Bengal,Kolkata,Tier 1,Tier 1,CSE,B.Tech,7.18,1,Yes,0,2,49,81,66,51,87.43,Software Developer,Not Placed,0.4422,0.0
STU00088,23,Male,Karnataka,Bengaluru,Tier 1,Tier 2,AI & ML,B.Tech,6.15,0,Yes,2,3,78,41,31,77,86.34,Machine Learning Engineer,Placed,0.5094,2.5
STU00089,20,Male,West Bengal,Kolkata,Tier 2,Tier 2,ECE,B.Tech,7.4,2,Yes,1,5,74,61,18,75,91.52,Embedded Engineer,Not Placed,0.4635,0.0
STU00090,23,Male,West Bengal,Durgapur,Tier 3,Tier 1,Data Science,B.Tech,6.07,0,Yes,1,1,46,56,47,52,92.35,Data Scientist,Placed,0.3376,5.47
STU00091,23,Male,Kerala,Thiruvananthapuram,Tier 3,Tier 3,CSE,B.Tech,6.69,0,Yes,2,3,54,55,73,54,72.38,Software Developer,Not Placed,0.4722,0.0
STU00092,20,Female,Gujarat,Ahmedabad,Tier 2,Tier 1,Civil,B.Tech,8.24,0,Yes,1,3,66,80,72,63,94.6,Civil Engineer,Placed,0.7603,4.99
STU00093,24,Other,Andhra Pradesh,Visakhapatnam,Tier 1,Tier 1,EEE,B.Tech,7.11,0,No,3,2,72,65,53,80,85.47,Electrical Engineer,Placed,0.6138,2.5
STU00094,24,Male,Maharashtra,Mumbai,Tier 2,Tier 2,ECE,B.Tech,9.4,0,Yes,4,3,79,74,27,57,83.64,Embedded Engineer,Placed,0.8883,7.09
STU00095,22,Female,Maharashtra,Pune,Tier 3,Tier 2,Civil,B.Tech,8.7,0,Yes,3,2,81,99,57,56,91.27,Civil Engineer,Placed,0.8743,6.06
STU00096,23,Male,Delhi,New Delhi,Tier 2,Tier 3,AI & ML,B.Tech,9.35,0,Yes,0,2,73,82,48,80,66.18,Machine Learning Engineer,Placed,0.8388,5.13
STU00097,21,Male,Gujarat,Vadodara,Tier 3,Tier 2,CSE,B.E.,8.15,1,No,5,4,80,76,90,60,84.05,Software Developer,Placed,0.7549,4.17
STU00098,23,Male,Andhra Pradesh,Tirupati,Tier 2,Tier 3,CSE,B.Tech,7.99,0,Yes,2,2,81,79,69,73,75.53,Software Developer,Placed,0.795,4.79
STU00099,20,Female,Kerala,Thiruvananthapuram,Tier 1,Tier 3,CSE,B.Tech,9.9,2,No,2,1,75,92,79,78,76.24,Software Developer,Placed,0.7289,4.38
STU00100,21,Male,Uttar Pradesh,Noida,Tier 1,Tier 3,CSE,B.E.,6.83,1,Yes,1,0,68,57,80,76,87.07,Software Developer,Not Placed,0.3748,0.0
STU00101,23,Male,Delhi,Delhi,Tier 2,Tier 2,ISE,B.Tech,6.83,0,No,0,3,65,77,52,74,68.08,Full Stack Developer,Not Placed,0.4969,0.0
STU00102,22,Female,Maharashtra,Nagpur,Tier 1,Tier 2,CSE,B.Tech,6.9,0,Yes,1,3,42,67,80,67,79.65,Software Developer,Not Placed,0.5273,0.0
STU00103,22,Male,Gujarat,Surat,Tier 2,Tier 3,ECE,B.Tech,9.4,0,No,5,1,76,65,96,46,84.22,Embedded Engineer,Placed,0.7675,3.95
STU00104,20,Female,Kerala,Kozhikode,Tier 2,Tier 3,Data Science,B.Tech,6.99,0,No,1,1,55,50,57,80,91.33,Data Scientist,Not Placed,0.36,0.0
STU00105,21,Male,West Bengal,Kolkata,Tier 1,Tier 2,EEE,B.Tech,8.02,1,No,1,1,61,69,37,64,78.36,Electrical Engineer,Placed,0.3994,2.93
STU00106,24,Male,Kerala,Thiruvananthapuram,Tier 2,Tier 2,CSE,B.Tech,7.31,0,No,3,1,67,89,78,70,91.13,Software Developer,Not Placed,0.6758,0.0
STU00107,24,Female,Gujarat,Surat,Tier 1,Tier 3,CSE,B.Tech,7.52,1,Yes,3,1,62,79,89,60,82.45,Software Developer,Not Placed,0.5968,0.0
STU00108,21,Other,Karnataka,Bengaluru,Tier 1,Tier 2,ECE,B.Tech,8.93,0,Yes,1,3,46,80,68,35,78.07,Embedded Engineer,Not Placed,0.6838,0.0
STU00109,22,Male,Telangana,Hyderabad,Tier 2,Tier 2,Data Science,B.Tech,5.95,0,No,6,2,58,54,83,88,94.56,Data Scientist,Not Placed,0.5602,0.0
STU00110,20,Male,Karnataka,Mysuru,Tier 2,Tier 2,EEE,B.Tech,7.01,2,Yes,2,5,62,59,53,89,87.47,Electrical Engineer,Not Placed,0.4617,0.0
STU00111,23,Female,Delhi,Delhi,Tier 1,Tier 3,CSE,B.Tech,6.31,0,Yes,5,2,56,64,67,57,79.16,Software Developer,Not Placed,0.5928,0.0
STU00112,21,Male,Kerala,Kochi,Tier 2,Tier 3,Data Science,B.E.,9.02,0,Yes,2,1,83,48,89,40,77.39,Data Scientist,Placed,0.6877,6.75
STU00113,20,Male,West Bengal,Kolkata,Tier 1,Tier 3,Data Science,B.E.,6.92,0,No,2,0,65,79,61,53,88.15,Data Scientist,Not Placed,0.4477,0.0
STU00114,24,Female,Maharashtra,Pune,Tier 1,Tier 2,Mechanical,B.E.,8.7,0,Yes,1,1,50,52,52,48,92.58,Design Engineer,Placed,0.5412,4.4
STU00115,23,Male,Karnataka,Mangaluru,Tier 2,Tier 3,Mechanical,B.Tech,5.97,0,Yes,1,2,82,41,76,70,81.98,Design Engineer,Not Placed,0.3564,0.0
STU00116,22,Other,Delhi,Delhi,Tier 1,Tier 2,Mechanical,B.Tech,5.83,0,No,0,4,66,57,56,81,77.19,Design Engineer,Placed,0.3148,3.34
STU00117,21,Male,Delhi,Delhi,Tier 3,Tier 3,EEE,B.E.,6.26,1,Yes,0,1,68,53,53,41,90.66,Electrical Engineer,Placed,0.1837,4.78
STU00118,23,Female,Delhi,Delhi,Tier 2,Tier 1,ISE,B.E.,7.02,0,Yes,3,1,73,78,42,72,86.0,Full Stack Developer,Placed,0.7453,4.49
STU00119,22,Female,Karnataka,Bengaluru,Tier 2,Tier 2,CSE,B.Tech,9.09,2,No,2,1,91,100,100,82,87.12,Software Developer,Placed,0.7478,5.6
STU00120,22,Male,West Bengal,Kolkata,Tier 2,Tier 2,Data Science,B.Tech,6.91,0,No,6,4,69,77,39,80,90.31,Data Scientist,Placed,0.7896,6.45
STU00121,23,Male,Telangana,Warangal,Tier 2,Tier 3,AI & ML,B.Tech,8.54,0,No,3,4,65,74,58,41,80.76,Machine Learning Engineer,Not Placed,0.7045,0.0
STU00122,22,Female,Kerala,Thiruvananthapuram,Tier 1,Tier 3,ECE,B.Tech,7.8,3,No,3,3,77,83,67,62,95.12,Embedded Engineer,Placed,0.3762,5.09
STU00123,22,Male,West Bengal,Kolkata,Tier 2,Tier 3,CSE,B.Tech,7.78,0,Yes,1,2,67,82,63,52,79.83,Software Developer,Placed,0.6716,3.88
STU00124,22,Male,Gujarat,Vadodara,Tier 3,Tier 1,EEE,B.E.,9.21,0,Yes,2,1,81,92,69,63,92.29,Electrical Engineer,Placed,0.8774,3.98
STU00125,22,Male,Gujarat,Surat,Tier 1,Tier 3,Civil,B.Tech,7.93,2,Yes,4,2,56,79,67,83,72.88,Civil Engineer,Not Placed,0.6128,0.0
STU00126,20,Male,Delhi,New Delhi,Tier 1,Tier 1,Mechanical,B.Tech,8.96,0,No,2,5,68,67,50,54,80.12,Design Engineer,Not Placed,0.7488,0.0
STU00127,23,Other,Delhi,New Delhi,Tier 2,Tier 2,ISE,B.Tech,8.84,0,Yes,2,2,83,87,82,61,88.98,Full Stack Developer,Not Placed,0.8634,0.0
STU00128,21,Male,Telangana,Hyderabad,Tier 2,Tier 3,Data Science,B.Tech,9.38,0,Yes,2,0,88,93,66,63,85.72,Data Scientist,Placed,0.8804,7.4
STU00129,21,Female,Kerala,Kochi,Tier 1,Tier 3,ISE,B.Tech,7.75,1,Yes,3,2,67,63,59,59,89.76,Full Stack Developer,Placed,0.5874,3.39
STU00130,22,Male,Maharashtra,Nagpur,Tier 1,Tier 1,CSE,B.Tech,7.29,0,Yes,1,2,61,64,40,67,84.39,Software Developer,Not Placed,0.6171,0.0
STU00131,23,Male,West Bengal,Durgapur,Tier 2,Tier 2,Mechanical,B.Tech,10.0,3,Yes,3,2,68,86,82,65,76.68,Design Engineer,Placed,0.7097,5.14
STU00132,20,Female,Karnataka,Bengaluru,Tier 2,Tier 2,Data Science,B.Tech,8.02,0,No,0,3,69,79,52,62,71.94,Data Scientist,Placed,0.6136,6.12
STU00133,20,Male,Uttar Pradesh,Noida,Tier 1,Tier 1,CSE,B.E.,7.91,0,No,4,1,60,82,63,71,79.34,Software Developer,Placed,0.7513,5.41
STU00134,23,Female,Gujarat,Ahmedabad,Tier 2,Tier 3,CSE,B.Tech,8.68,0,Yes,1,1,83,72,83,47,82.16,Software Developer,Not Placed,0.7256,0.0
STU00135,23,Male,Delhi,Delhi,Tier 1,Tier 2,CSE,B.Tech,9.55,0,Yes,3,3,89,75,56,70,88.96,Software Developer,Placed,0.9173,6.71
STU00136,20,Male,Delhi,New Delhi,Tier 2,Tier 3,Mechanical,B.Tech,9.28,0,No,3,0,73,72,77,70,79.64,Design Engineer,Not Placed,0.7422,0.0
STU00137,23,Male,Maharashtra,Mumbai,Tier 2,Tier 2,Data Science,B.E.,6.66,1,Yes,2,1,64,44,55,86,77.33,Data Scientist,Not Placed,0.4032,0.0
STU00138,22,Male,Tamil Nadu,Chennai,Tier 2,Tier 2,AI & ML,B.Tech,9.87,1,Yes,2,1,77,92,93,48,87.13,Machine Learning Engineer,Placed,0.8344,5.67
STU00139,22,Male,Delhi,New Delhi,Tier 1,Tier 3,ECE,B.Tech,7.5,1,No,2,1,49,60,56,60,78.63,Embedded Engineer,Not Placed,0.2896,0.0
STU00140,22,Female,Gujarat,Surat,Tier 2,Tier 3,AI & ML,B.Tech,7.32,1,No,1,2,85,78,55,56,84.18,Machine Learning Engineer,Not Placed,0.4504,0.0
STU00141,21,Male,Maharashtra,Mumbai,Tier 1,Tier 3,ISE,B.Tech,7.71,0,Yes,1,1,67,61,75,60,93.39,Full Stack Developer,Placed,0.5752,3.1
STU00142,24,Female,Uttar Pradesh,Kanpur,Tier 3,Tier 2,AI & ML,B.Tech,7.2,0,No,2,2,68,100,88,69,83.66,Machine Learning Engineer,Not Placed,0.6904,0.0
STU00143,21,Female,Tamil Nadu,Chennai,Tier 2,Tier 2,ISE,B.E.,8.74,0,Yes,2,3,67,74,55,77,96.61,Full Stack Developer,Placed,0.8408,6.58
STU00144,23,Male,Telangana,Warangal,Tier 1,Tier 1,Data Science,B.Tech,8.75,0,Yes,1,0,83,83,94,48,88.24,Data Scientist,Placed,0.7879,5.92
STU00145,22,Female,Maharashtra,Nagpur,Tier 2,Tier 2,ECE,B.Tech,8.42,0,No,3,0,72,75,59,56,73.0,Embedded Engineer,Placed,0.6512,6.08
STU00146,23,Male,Karnataka,Mangaluru,Tier 1,Tier 2,CSE,B.Tech,8.03,0,Yes,1,1,80,75,65,91,77.13,Software Developer,Placed,0.7867,7.82
STU00147,23,Male,Karnataka,Bengaluru,Tier 1,Tier 3,ISE,B.Tech,8.41,1,Yes,4,3,65,65,69,50,74.1,Full Stack Developer,Placed,0.6972,4.14
STU00148,23,Male,Tamil Nadu,Chennai,Tier 2,Tier 1,ECE,B.Tech,6.57,0,Yes,6,2,64,40,49,65,85.84,Embedded Engineer,Placed,0.6193,5.38
STU00149,23,Male,Telangana,Warangal,Tier 3,Tier 1,ECE,B.E.,8.22,0,Yes,2,2,83,89,81,68,70.38,Embedded Engineer,Placed,0.8393,6.92
