course_title,course_organization,course_certificate_type,course_time,course_rating,course_reviews_num,course_difficulty,course_url,course_students_enrolled,course_skills_clean,course_summary,course_description,course_rank
Machine Learning Data Lifecycle in Production,DeepLearning.AI,Course,1 - 4 Weeks,4.3,746.0,advanced,https://www.coursera.org/learn/machine-learning-data-lifecycle-in-production,"38,883","ml metadata, convolutional neural network, tensorflow extended (tfx), data validation, data transformation","['\xa0Identify responsible data collection for building a fair ML production system.', 'Implement feature engineering, transformation, and selection with TensorFlow Extended', 'Understand the data journey over a production system’s lifecycle and leverage ML metadata and enterprise schemas to address quickly evolving data.']","In the second course of Machine Learning Engineering for Production Specialization, you will build data pipelines by gathering, cleaning, and validating datasets and assessing data quality; implement feature engineering, transformation, and selection with TensorFlow Extended and get the most predictive power out of your data; and establish the data lifecycle by leveraging data lineage and provenance metadata tools and follow data evolution with enterprise data schemas.
Understanding machine learning and deep learning concepts is essential, but if you’re looking to build an effective AI career, you need production engineering capabilities as well. Machine learning engineering for production combines the foundational concepts of machine learning with the functional expertise of modern software development and engineering roles to help you develop production-ready skills. 

Week 1: Collecting, Labeling, and Validating data
Week 2: Feature Engineering, Transformation, and Selection
Week 3: Data Journey and Data Storage
Week 4: Advanced Data Labeling Methods, Data Augmentation, and Preprocessing Different Data Types
",34.13889635528533
Foundations of Business Intelligence,Google,Course,1 - 4 Weeks,4.8,356.0,advanced,https://www.coursera.org/learn/foundations-of-business-intelligence,"17,984","stakeholder management, sharing insights with stakeholders, asking effective questions, cross-functional team dynamics, business processes and requirements",[],"This course is intended as a self-study course for those interested in exploring a career as a Home Health Aide or Personal Care Aide.
",33.85575810305072
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",DeepLearning.AI,Course,1 - 4 Weeks,4.8,582.0,intermediate,https://www.coursera.org/learn/introduction-tensorflow,"25,439","computer vision, tensorflow, machine learning","['Define technical support, tech support, IT support, customer support mindset, the various levels of IT support, and the escalation matrix ', 'Discover soft and technical skills required and opportunities available for a career in Technical Support', 'Explore the features and benefits of ticketing systems', 'Identify the various methodologies and frameworks popular in technical support']","Technical Support professionals are in great demand! This is the first course in the IBM IT Support Professional Certificate program, designed to prepare you for a rewarding career in technical support. 
You will begin this self-paced course by learning what Informational Technology (IT) support is all about. You'll find out the roles and responsibilities of Technical Support professionals and become familiar with all the different career paths you can take in Technical Support. You will also hear from experts in the IT industry about getting started in the field and how you can pursue this career without prior experience or degrees. You'll also learn some basics about the technology that technical support professionals use. 

You will hear from industry insiders about how you can develop a customer support mindset and how to talk with customers and solve their problems. You will gain insights into performance evaluation, career paths, and the industry-recognized certifications that can propel your technical support career forward. 

You'll then gain a comprehensive understanding of support tools and support channels and how they streamline issue resolution. You will also learn about the importance of Service-Level Agreements (SLAs) and how they contribute to delivering exceptional support experiences. 

Next you will explore ticketing systems, a fundamental component of modern technical support. You'll learn about their features, benefits, and the lifecycle of a ticket or a support issue. Moreover, you'll immerse yourself in tech support methodologies, frameworks, and the art of effective documentation.  

The course wraps up with a project that provides you with the opportunity to use a ticketing system hands-on and simulate the work that IT Support Specialists and Helpdesk Technician’s perform.
",33.624028343930604
Financial Engineering and Risk Management,Columbia University,Specialization,3 - 6 Months,4.5,884.0,intermediate,https://www.coursera.org/specializations/financialengineering,"33,709","quantitative analysis, asset allocation, algorithmic trading, portfolio optimization, mathematical finance",[],"In this course, you’ll explore how financial statement data and non-financial metrics can be linked to financial performance. Professors Rick Lambert and Chris Ittner of the Wharton School have designed this course to help you gain a practical understanding of how data is used to assess what drives financial performance and forecast future financial scenarios. You’ll learn more about the frameworks of financial reporting, income statements, and cash reporting, and apply different approaches to analyzing financial performance using real-life examples to see the concepts in action. By the end of this course, you’ll have honed your skills in understanding how financial data and non-financial data interact to forecast events and be able to determine the best financial strategy for your organization.
",33.58865884278925
Country Level Economics: Macroeconomic Variables and Markets,University of Illinois at Urbana-Champaign,Course,1 - 3 Months,4.6,746.0,intermediate,https://www.coursera.org/learn/country-level-economics,"40,679","economics, interest rate, supply chain, market (economics)",[],"The achievement of a balanced economic, social and environmental development - as expressed in the UN Agenda 2030 for Sustainable Development - is recognized as one of the major challenges humanity is facing today. What is less clear is whether and how organizations can generate business opportunities and value for their stakeholders while tackling such challenges. 
In this course, thought leaders in a wide variety of management and economics fields illustrate how to assess and seize the opportunities offered by these global emergencies. They will offer new ways to understand the purpose and the logic of success of the business enterprise in this new context, providing ideas and examples on how to manage the transition process to realize the value creation potential from corporate sustainability for all involved stakeholders.

Learning objectives
The course will allow you to:
- Understand What the macroeconomic and microeconomic consequences of both climate changes, poverty, hunger, gender or race discriminations, lack of communication between the State, Civil Societies, and businesses, etc are.
- Understand Why it is important for businesses to tackle sustainability issues in order to create more and better business opportunities;
- Learn How each individual, organization and system can start to analyze its behaviors and change towards more sustainable practices and models.
",33.47728983677205
Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,Course,1 - 3 Months,4.5,859.0,intermediate,https://www.coursera.org/learn/site-reliability-engineering-slos,"48,390",,"['How to make systems reliable', 'Quantifying risks to and consequences of SLOs', 'Understanding SLIs, SLOs and SLAs']","Service level indicators (SLIs) and service level objectives (SLOs) are fundamental tools for measuring and managing reliability. In this course, students learn approaches for devising appropriate SLIs and SLOs and managing reliability through the use of an error budget.
",33.44681532677539
Interviewing and Resume Writing in English,"University of Maryland, College Park",Specialization,3 - 6 Months,4.6,706.0,intermediate,https://www.coursera.org/specializations/english-interview-resume,"32,957",,[],"This specialization will help you develop the English language strategies and communication skills you need to advance in your professional career.  Whether you already have a successful career and are looking to move forward, whether you’re looking to change careers, whether you’re starting out in the world of work, or whether you’re coming back into the world of work after some time away – if you believe in working for more than a paycheck, then this specialization will help you. The core courses cover preparing for a successful job search, including self research and research of the job market and industries of interest; strengthening your interview skills by recognizing what hiring managers are looking for and taking steps to prepare for the types of tough questions today's premier companies use; and preparing a resume, cover letter and supporting business documents. The capstone will allow you to apply the skills you learn in this specialization to your own job search.
A key benefit of this specialization is the opportunities you'll have to practice your interviewing skills with other job-seekers from around the world. You’ll give them feedback and they’ll give you feedback. In this process, you’ll gain new insight into what makes a speaker successful and you’ll gain confidence in your English interviewing skills.
",33.19881516943666
Marketing en redes sociales de Meta,Meta,Professional Certificate,3 - 6 Months,4.9,863.0,beginner,https://www.coursera.org/professional-certificates/marketing-en-redes-sociales-de-facebook,"8,319","publicidad de rendimiento, marketing en redes sociales, marketing digital, gestión de marcas, marketing de contenidos","['Crear y analizar una campaña publicitaria efectiva para tu público objetivo\xa0', 'Crear un brief creativo que incluya los recursos de tu anuncio pago', 'Crear, editar y solucionar problemas de anuncios en el Administrador de anuncios de Facebook', 'Establecer y gestionar una presencia en redes sociales']","Ya sea que ya hayas estado jugando con las plataformas de redes sociales para tu empresa o seas completamente nuevo en el campo del marketing digital, estás en el lugar indicado. Este programa de seis cursos, desarrollado por expertos en marketing digital de Aptly junto con profesionales de marketing de Facebook, incluye un plan de estudios relevante para la industria que te preparará para un puesto de nivel inicial en marketing en redes sociales.Después de una introducción al marketing digital y las principales plataformas de redes sociales, aprenderás a establecer una presencia en línea, crear publicaciones, aumentar los seguidores y gestionar tus cuentas de redes sociales. Desarrollarás habilidades de creación y gestión de campañas publicitarias en redes sociales y aprenderás a evaluar los resultados de tus acciones de marketing.Lo más importante, a lo largo del programa podrás practicar tus nuevas habilidades en proyectos prácticos, cuyos resultados puedes mostrar mediante un portfolio de tu trabajo. Tras completar con éxito el programa, obtendrás la certificación de Asociado de marketing digital de Facebook y de Coursera, que te proporcionará habilidades en marketing en redes sociales y en el uso del Administrador de anuncios de Facebook.
Applied Learning Project
Nuestros proyectos ofrecen la oportunidad de aplicar las habilidades de marketing en redes sociales de forma práctica. Desde establecer tu marca y objetivos comerciales hasta crear y evaluar una campaña publicitaria en el Administrador de anuncios de Facebook, trabajarás directamente en las plataformas de redes sociales para crear contenido relevante y atractivo, descubrir los pormenores de cada plataforma de redes sociales, practicar el análisis de métricas y más. Los resultados incluirán un portfolio que puedes compartir con un futuro empleador o usar en tu propia empresa.
",33.13170656713987
Creating Business Value with Data and Looker,Google Cloud,Specialization,3 - 6 Months,4.4,935.0,intermediate,https://www.coursera.org/specializations/creating-business-value-with-data-and-looker,"36,112",,[],"This course discusses   how macroeconomic variables affect individuals’ personal, professional, and public activities and lays the foundation for the analysis of the mechanisms that drive macroeconomic variables. It starts by introducing the key macroeconomic variables and explaining how they are defined and measured to interpret macroeconomic data properly.
Then, the course offers a perspective for separating out various parts of the economy driven by different processes and for combining those components to develop a richer view of the whole. In particular, it applies this approach to the analysis of the relationship of the trade deficit with the budget deficit and private savings, offering insights about some key determinants of the balance of payments. The third and fourth modules focus on the analyses of the foreign currency and money markets to provide fundamental models of the interest rate and exchange rate determination. They also discuss how these variables interact with each other and with the macroeconomic conditions, particularly monetary policy, and the expectations about the future trends in the economy.  

You will be able to: 

• Systematically assess the national and international economic environment in which you live and work
• Analyze macroeconomic issues using key tools
• Be a more effective professional in your   line of activity.

This course is part of Gies College of Business’ suite of online programs, including the iMBA and iMSM. Learn more about admission into these programs and explore how your Coursera work can be leveraged if accepted into a degree program at https://degrees.giesbusiness.illinois.edu/idegrees/.
",33.11341890615155
Put It to Work: Prepare for Cybersecurity Jobs,Google,Course,1 - 3 Months,4.9,856.0,beginner,https://www.coursera.org/learn/prepare-for-cybersecurity-jobs,"50,164","job preparedness, stakeholder communication, integrity and discretion, escalation, resume and portfolio preparation","['Determine when and how to escalate a security incident', 'Engage with the cybersecurity community', 'Find and apply for cybersecurity jobs', 'Prepare for job interviews']","This is the eighth and final course in the Google Cybersecurity Certificate. Together, these eight courses will equip you with the skills you need to apply for an entry-level cybersecurity job.
In this course, you will focus on making decisions and escalating incidents to stakeholders. You'll develop the communication and collaboration skills needed to inform and influence stakeholders within an organization. In addition, you'll explore how to ethically operate as a cybersecurity professional. You'll discover how to engage with the cybersecurity community, explore jobs in the cybersecurity field, and complete practice interviews. You'll also write a resume and cover letter to prepare for applying and interviewing for jobs in cybersecurity.

Google employees who currently work in cybersecurity will guide you through videos, provide hands-on activities and examples that simulate common cybersecurity tasks, and help you build your skills to prepare for jobs. 

Learners who complete this certificate will be equipped to apply for entry-level cybersecurity roles. No previous experience is necessary.

By the end of this course, you will: 
- Determine when and how to escalate a security incident.
- Explain how having an ethical mindset supports a cybersecurity professional's ability to protect assets and data.
- Communicate sensitive information with care and confidentiality.
- Use reliable sources to remain current on the latest cybersecurity threats, risks, vulnerabilities, and tools.
- Engage with the cybersecurity community.
- Find and apply for cybersecurity jobs.
- Prepare for job interviews.
",33.091845801129125
Systems Biology and Biotechnology,Icahn School of Medicine at Mount Sinai,Specialization,3 - 6 Months,4.4,929.0,intermediate,https://www.coursera.org/specializations/systems-biology,"22,565","biology, molecular biology, dynamical systems, matlab",[],"The Systems Biology Specialization covers the concepts and methodologies used in systems-level analysis of biomedical systems. Successful participants will learn how to use experimental, computational and mathematical methods in systems biology and how to design practical systems-level frameworks to address questions in a variety of biomedical fields. In the final Capstone Project, students will apply the methods they learned in five courses of specialization to work on a research project.
",33.08229339695294
American Contract Law I,Yale University,Course,1 - 3 Months,4.9,854.0,beginner,https://www.coursera.org/learn/contracts-1,"57,003",,[],"American Contract Law I (along with its sister course Contracts II) provides a comprehensive overview of contract law in the United States. The course covers most of the key concepts found in a first year law school class. Each lecture is based on one or more common-law cases, integrating legal doctrines with policy discussions. The course also covers key sections from the Uniform Commercial Code (UCC), which governs the sale of goods. 
By the end of the course, the learner should be able to understand: 

Formation: how a valid and enforceable contract is created, including concepts such as offer, acceptance, consideration, and promissory estoppel.
",33.08039719779013
Natural Language Processing with Classification and Vector Spaces,DeepLearning.AI,Course,1 - 4 Weeks,4.4,927.0,intermediate,https://www.coursera.org/learn/classification-vector-spaces-in-nlp,"63,912","machine translation, word embeddings, locality-sensitive hashing, sentiment analysis, vector space models","['Use encoder-decoder, causal, & self-attention to machine translate complete sentences, summarize text, build chatbots & question-answering.']","In Course 4 of the Natural Language Processing Specialization, you will:
a) Translate complete English sentences into German using an encoder-decoder attention model,
b) Build a Transformer model to summarize text, 
c) Use T5 and BERT models to perform question-answering, and
d) Build a chatbot using a Reformer model. 


By the end of this Specialization, you will have designed NLP applications that perform question-answering and sentiment analysis, created tools to translate languages and summarize text, and even built a chatbot!   

Learners should have a working knowledge of machine learning, intermediate Python including experience with a deep learning framework (e.g., TensorFlow, Keras), as well as proficiency in calculus, linear algebra, and statistics. Please make sure that you’ve completed course 3 - Natural Language Processing with Sequence Models - before starting this course.
   
This Specialization is designed and taught by two experts in NLP, machine learning, and deep learning. Younes Bensouda Mourri is an Instructor of AI at Stanford University who also helped build the Deep Learning Specialization. Łukasz Kaiser is a Staff Research Scientist at Google Brain and the co-author of Tensorflow, the Tensor2Tensor and Trax libraries, and the Transformer paper.
",33.071873586685214
Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,Course,1 - 3 Months,4.8,967.0,beginner,https://www.coursera.org/learn/human-language,"6,344","essay writing, history, english language, chinese language","['The theory and impact of mindfulness practice', 'The tools and methods to incorporate this practice into your life']","The goal of the Specialization is to showcase the ways in which the practice of mindfulness is an effective means of enhancing and maintaining optimal health and overall well-being that can be implemented in every aspect of daily living. The intention of the Specialization is to supply learners with practical tools to support thriving in life. Each course will feature mindfulness practices, directions for implementation and application, experiential exercises and reflection opportunities. 
Applied Learning Project
Each week, there will be lectures to watch, discussions to contribute to, and short quizzes to assess your learning. You will also have the opportunity to practice mindfulness yourself, and you will find different ways to try it out when you complete the weekly challenges/experiences. 
",33.00111401892757
European Business Law,Lund University,Specialization,3 - 6 Months,4.8,967.0,beginner,https://www.coursera.org/specializations/european-business-law,"18,683","compete on the internal market, legal research, law, business law, foreign policy",[],"This 7-week course provides you with key strategies to help understand the foundation of Clinical Simulations.  During each module, you will learn about 7 key components of Clinical Simulation Across the Health Professions and its' impact in your current position as a healthcare professional.  Please utilize all of the Resources provided by each of the modules to support and enhance your understanding of each concept.  You will learn about the following topics in this course:
Module 1:  Getting Started in Clinical Simulation-the Fundamentals
Module 2:  INACSL Standards of Best Practice:  Simulation
Module 3:  Implementing Simulation in the Curriculum
Module 4:  Developing a Simulation Center
Module 5:  Basics of Debriefing in Simulation
Module 6:  Evaluation Methods in Simulation
Module 7:  SPs in Simulation

About The George Washington University School of Nursing

Ranked among the top nursing schools by U.S. News & World Report, the George Washington University School of Nursing educates and inspires nurses to provide high-quality, compassionate person-centered health care. The school develops leaders actively engaged in health promotion, patient advocacy and healthcare innovation, and prepares exceptional nurse educators who pursue quality and advance the profession. The School of Nursing is committed to improving the health and wellbeing of people and communities locally, nationally and globally. The school values lifelong learning and its students advance nursing practice, leadership and education as they make a difference in the world.

For more in-depth simulation education, please see the GW Nursing Simulation Initiatives.
https://nursing.gwu.edu/gw-nursing-simulation-initiatives
",33.00111401892757
The Pronunciation of American English,"University of California, Irvine",Specialization,3 - 6 Months,4.8,955.0,beginner,https://www.coursera.org/specializations/american-english-pronunciation,"36,409","english language, pronunciation",[],"This specialization is intended for anyone who wants to achieve clearer, more understandable pronunciation of American English to help them communicate more easily and effectively. Through these four courses, you will learn about and practice consonant and vowel sounds, along with aspects of the “music” of English, including word stress, intonation, and connected speech. Clearer pronunciation leads to success in business, education, or any field where English is required.  
Applied Learning Project
Learners will improve their pronunciation by practicing realistic dialogues and other interactive exercises. They will put their new knowledge and skills to use by analyzing a passage of authentic spoken English and preparing and recording a reflection on their own learning, with the aim of improving their ability to be understood and also to understand others in real-life oral communication.  
",32.941237982646726
用 Python 做商管程式設計（一）(Programming for Business Computing in Python (1)),National Taiwan University,Course,1 - 3 Months,4.9,814.0,beginner,https://www.coursera.org/learn/pbc1,"38,595",,[],"本系列課程從零開始，教授一般認為最適合初學者的程式語言「Python」，目標是讓大家在完成本課程之後，一方面獲得程式設計與運算思維的基本概念，一方面也能獨立寫出能解決運算問題的程式。本課程和一般程式設計課程最不同的地方，在於它是以解決商管領域的運算問題為導向，因此課程不會只含有質因數分解、紅球白球排列組合、三角不等式、萬年曆、數字排序等傳統程式設計課程的範例與作業，而是包含了生產、物流、存貨、投資、定價等問題，讓大家在學會程式設計的同時，也直接體會程式設計與資訊技術在商管領域的各種應用。
本系列課程共分為三門課程。本門課程做為第一門課程，將介紹程式設計的基本觀念、Python 語言的基本語法、選擇、迴圈、清單，並以作業管理領域的一些簡單演算法作結。
",32.84562175488023
Astronomy: Exploring Time and Space,University of Arizona,Course,1 - 3 Months,4.8,909.0,beginner,https://www.coursera.org/learn/astro,"66,581","solar systems, chemistry, theory of relativity, astrobiology","['Classify assets', 'Analyze an attack surface to find risks and vulnerabilities', 'Identify threats, such as social engineering, malware and web-based exploits', 'Summarize the threat modeling process']","This is the fifth course in the Google Cybersecurity Certificate. These courses will equip you with the skills you need to apply for an entry-level cybersecurity job. You’ll build on your understanding of the topics that were introduced in the fourth Google Cybersecurity Certificate course.
In this course, you will explore the concepts of assets, threats, and vulnerabilities. First, you'll build an understanding of how assets are classified. Next, you will become familiar with common threats and vulnerabilities, and the security controls used by organizations to protect valuable information and mitigate risk. You will develop an attacker mindset by practicing the threat modeling process, and you'll learn tactics for staying ahead of security breaches.

Google employees who currently work in cybersecurity will guide you through videos, provide hands-on activities and examples that simulate common cybersecurity tasks, and help you build your skills to prepare for jobs. 

Learners who complete this certificate will be equipped to apply for entry-level cybersecurity roles. No previous experience is necessary.

By the end of this course, you will: 
- Learn effective data handling processes.
- Discuss the role of encryption and hashing in securing assets.
- Describe how to effectively use authentication and authorization. 
- Explain how common vulnerability exposures are identified by MITRE.
- Analyze an attack surface to find risks and vulnerabilities.
- Identify threats, such as social engineering, malware, and web-based exploits.
- Summarize the threat modeling process.
",32.7045340776523
